Date,Description,Amount (€),Balance (€)
2025-06-01,MERCADONA 4839 MAD,-62.0,1088.0
2025-06-02,CARREFOUR MARKET,-50.03,1037.97
2025-06-02,RETIRADA EFECTIVO CAJERO,-50.0,987.97
2025-06-03,NOMINA JUNIO,1600.0,2587.97
2025-06-03,MERCADONA 4839 MAD,-47.71,2540.26
2025-06-04,POS 4839 XJH,-49.93,2490.33
2025-06-04,AMAZON REFUND,50.29,2540.62
2025-06-05,NETFLIX.COM,-12.99,2527.63
2025-06-05,CABIFY MADRID,-25.24,2502.39
2025-06-06,RENFE VIAJEROS,-10.87,2491.52
2025-06-08,SPOTIFY,-9.99,2481.53
2025-06-10,CARREFOUR MARKET,-6.83,2474.7
2025-06-11,ZARA GRAN VIA,-71.91,2402.79
2025-06-12,AMAZON PRIME,-4.99,2397.8
2025-06-13,CARREFOUR MARKET,-51.5,2346.3
2025-06-14,RENFE VIAJEROS,-24.61,2321.69
2025-06-15,GIMNASIO BASIC FIT,-29.99,2291.7
2025-06-15,CABIFY MADRID,-70.04,2221.66
2025-06-16,CABIFY MADRID,-35.01,2186.65
2025-06-17,CABIFY MADRID,-20.06,2166.59
2025-06-18,GLOVOAPP,-24.2,2142.39
2025-06-19,FARMACIA 24H,-74.4,2067.99
2025-06-20,MOVISTAR INTERNET,-45.0,2022.99
2025-06-21,UBER EATS *MADRID,-15.32,2007.67
2025-06-22,RENFE VIAJEROS,-33.46,1974.21
2025-06-23,AMAZON REFUND,46.04,2020.25
2025-06-24,DECATHLON,-64.15,1956.1
2025-06-25,MERCADONA 4839 MAD,-78.84,1877.26
2025-06-26,STARBUCKS MADRID,-43.46,1833.8
2025-06-28,STARBUCKS MADRID,-45.97,1787.83
2025-06-29,CABIFY MADRID,-41.95,1745.88
2025-06-30,APPLE STORE,-199.99,1545.89
2025-07-01,HOTEL BARCELONA,-320.0,1225.89
2025-07-02,FLIGHT IBIZA,-150.0,1075.89
2025-07-03,AMAZON SUBSCRIPTION,-7.99,1067.9
2025-07-04,SPOTIFY PREMIUM,-9.99,1057.91
2025-07-05,CINEMA MADRID,-12.0,1045.91
2025-07-06,BOWLING CLUB,-18.0,1027.91
2025-07-07,VET CLINIC,-45.0,982.91
2025-07-08,PET STORE,-20.0,962.91
2025-07-09,GAS STATION,-50.0,912.91
2025-07-10,PARKING LOT,-8.0,904.91
2025-07-11,RENT JULY,-750.0,154.91
2025-07-12,TRANSFER TO SAVINGS,-200.0,-45.09
2025-07-13,CREDIT CARD PAYMENT,-100.0,-145.09
2025-07-14,BUS TICKET,-2.5,-147.59
2025-07-15,TECH SHOP,-89.99,-237.58
2025-07-16,INTERNET BILL,-60.0,-297.58
2025-07-17,PHONE BILL,-25.0,-322.58
2025-07-18,COFFEE SHOP,-4.5,-327.08
